"@Lesson","@Sequence","Chinese (traditional)","Chinese (simplified)","pinyin","English","part of speech"
"BLCU Reader Chapter 53","57","地域","地域","dìyù","region; district","N"
"BLCU Reader Chapter 53","58","大體","大体","dàtǐ","roughly; more or less","Adv"
"BLCU Reader Chapter 53","59","有關","有关","yǒuguān","to relate to; to have something to do with; related; relavent","V, A"
"BLCU Reader Chapter 53","60","炸","炸","zhá","to fry","V"
"BLCU Reader Chapter 53","61","臭豆腐乾","臭豆腐干","chòu dòufugān","preserved dry bean curd with a strong, distinctive flavor",""
"BLCU Reader Chapter 53","62","臭","臭","chòu","smelly; foul","A"
"BLCU Reader Chapter 53","63","大人物","大人物","dàrénwù","great personage; big shot; VIP","N"
"BLCU Reader Chapter 53","64","人物","人物","rénwù","figure; personage","N"
"BLCU Reader Chapter 53","65","千方百計","千方百计","qiānfāng bǎijì","by every possible means; by hook or by crook",""
"BLCU Reader Chapter 53","66","居然","居然","jūrán","unexpectedly","Adv"
"BLCU Reader Chapter 53","67","引起","引起","yǐnqǐ","to give rise to; to lead to","V"
"BLCU Reader Chapter 53","68","車廂","车厢","chēxiāng","railway carriage","N"
"BLCU Reader Chapter 53","69","抗議","抗议","kàngyì","to protest","V"
"BLCU Reader Chapter 53","70","乾酪","干酪","gānlào","cheese","N"
"BLCU Reader Chapter 53","71","大多","大多","dàduō","mostly; for the most part","Adv"
"BLCU Reader Chapter 53","72","聞","闻","wén","to smell","V"
"BLCU Reader Chapter 53","73","掩","掩","yǎn","to cover; to hide","V"
"BLCU Reader Chapter 53","74","鼻子","鼻子","bízi","nose","N"
"BLCU Reader Chapter 53","75","山西","山西","shānxī","Shanxi (Province)","PN"
"BLCU Reader Chapter 53","76","太原","太原","tàiyuán","Taiyuan (city in Shanxi Province)","PN"
"BLCU Reader Chapter 53","77","遼寧","辽宁","liáoníng","Liaoning (Province)","PN"
"BLCU Reader Chapter 53","78","蘇州","苏州","sūzhōu","Suzhou (city in Jiangsu Province)","PN"
"BLCU Reader Chapter 53","79","無錫","无锡","wúxī","Wuxi (city in Jiangsu Province)","PN"
"BLCU Reader Chapter 53","80","廣西","广西","guǎngxī","Guangxi (Autonomous Region)","PN"
"BLCU Reader Chapter 53","81","廣東","广东","guǎngdōng","Guangdong (Province)","PN"
"BLCU Reader Chapter 53","82","貴州","贵州","guìzhōu","Guizhou (Province)","PN"
"BLCU Reader Chapter 53","83","浙江","浙江","zhèjiāng","Zhejiang (Province)","PN"
"BLCU Reader Chapter 53","84","河北","河北","héběi","Hebei (Province)","PN"
"BLCU Reader Chapter 53","85","福建","福建","fújiàn","Fujian (Province)","PN"
"BLCU Reader Chapter 53","86","漢口","汉口","hànkǒu","Hankou (city in Hubei Province)","PN"
"BLCU Reader Chapter 53","87","長沙","长沙","chángshā","Changsha (city in Hunan Province)","PN"
"BLCU Reader Chapter 53","88","火宮殿","火宫殿","huǒgōngdiàn","Huogongdian (name of a restaurant)","PN"
"BLCU Reader Chapter 53","89","南京","南京","nánjīng","Nanjing (city in Jiangsu Province)","PN"
"BLCU Reader Chapter 53","90","孔雀","孔雀","kǒngquè","peacock","N"
"BLCU Reader Chapter 53","91","禮節","礼节","lǐjié","courtesy; etiquette","N"
"BLCU Reader Chapter 53","92","獻","献","xiàn","to offer; to dedicate","V"
"BLCU Reader Chapter 53","93","沱茶","沱茶","tuóchá","a bowl-shaped compressed mass of tea leaves","N"
"BLCU Reader Chapter 53","94","砂罐","砂罐","shāguàn","earthen pot","N"
"BLCU Reader Chapter 53","95","轟","轰","hōng","boom","Ono"
"BLCU Reader Chapter 53","96","禮貌","礼貌","lǐmào","courtesy; politeness","N"
"BLCU Reader Chapter 53","97","蜂蜜","蜂蜜","fēngmì","honey","N"
"BLCU Reader Chapter 53","98","核桃仁","核桃仁","hétáorén","walnut meat","N"
"BLCU Reader Chapter 53","99","豐富","丰富","fēngfù","rich; abundant","A"
"BLCU Reader Chapter 53","100","桂皮","桂皮","guìpí","Chinese cinnamon; cassia bark","N"
"BLCU Reader Chapter 53","101","姜","姜","jiāng","ginger","N"
"BLCU Reader Chapter 53","102","煮","煮","zhǔ","to cook; to boil","V"
"BLCU Reader Chapter 53","103","人生","人生","rénshēng","life","N"
"BLCU Reader Chapter 53","104","哲理","哲理","zhélǐ","philosophy","N"
"BLCU Reader Chapter 53","105","大理","大理","dàlǐ","Dali (city in Yunnan Province)","PN"
"BLCU Reader Chapter 53","106","白族","白族","báizú","Bai ethnic group, mainly inhibiting Yunnan Province","PN"
"BLCU Reader Chapter 53","107","我的媽呀","我的妈呀","wǒ de mā ya","Oh, my god!",""
"BLCU Reader Chapter 53","108","榴蓮","榴莲","liúlián","durian","N"
"BLCU Reader Chapter 53","109","炸彈","炸弹","zhàdàn","bomb","N"
"BLCU Reader Chapter 53","110","就算","就算","jiùsuàn","even if","Conj"
"BLCU Reader Chapter 53","111","股","股","gǔ","measure word for gas, smell, strength, etc.","M"
"BLCU Reader Chapter 53","112","玩藝","玩艺","wányì","thing","N"
"BLCU Reader Chapter 53","113","惡心","恶心","ěxin","to feel nauseated; to be nauseating; disgusting","A"
"BLCU Reader Chapter 53","114","嗯","嗯","ng","hum (to show consent)","Int"
"BLCU Reader Chapter 53","115","酒吧","酒吧","jiǔbā","bar (room)","N"
"BLCU Reader Chapter 53","116","進入","进入","jìnrù","to enter; to come into","V"
"BLCU Reader Chapter 53","117","營業時間","营业时间","yíngyè shíjiān","business hours",""
"BLCU Reader Chapter 53","118","營業","营业","yíngyè","to do business","V"
"BLCU Reader Chapter 53","119","顧客","顾客","gùkè","customer; shopper; client","N"
"BLCU Reader Chapter 53","120","泡","泡","pào","to hang about; to dally","V"
"BLCU Reader Chapter 53","121","其次","其次","qícì","next; secondly; then","Pr"
"BLCU Reader Chapter 53","122","目的","目的","mùdì","purpose; aim; objective","N"
"BLCU Reader Chapter 53","123","銷售","销售","xiāoshòu","to sell","V"
"BLCU Reader Chapter 54","1","迷戀","迷恋","míliàn","be infatuated with; madly cling to","V"
"BLCU Reader Chapter 54","2","所","所","suǒ","particle used before a verb to form a NP","Pt"
"BLCU Reader Chapter 54","3","建築","建筑","jiànzhù","architecture; building; to build; to construct","N, V"
"BLCU Reader Chapter 54","4","街道","街道","jiēdào","street","N, V"
"BLCU Reader Chapter 54","5","車輛","车辆","chēliàng","vehicle","N, V"
"BLCU Reader Chapter 54","6","節奏","节奏","jiézòu","rhythm; tempo","N, V"
"BLCU Reader Chapter 54","7","透","透","tòu","to show; to appear","V"
"BLCU Reader Chapter 54","8","到處","到处","dàochù","at every place; everywhere","Adv"
"BLCU Reader Chapter 54","9","僅僅","仅仅","jǐnjǐn","barely; merely","Adv"
"BLCU Reader Chapter 54","10","環形","环形","huánxíng","annular; ring-like","N, V"
"BLCU Reader Chapter 54","11","不見","不见","bújiàn","to disappear","V"
"BLCU Reader Chapter 54","12","取代","取代","qǔdài","to replace; to supercede","V"
"BLCU Reader Chapter 54","13","高大","高大","gāodà","tall and big","A"
"BLCU Reader Chapter 54","14","寬闊","宽阔","kuānkuò","broad; wide","A"
"BLCU Reader Chapter 54","15","寬","宽","kuān","wide","A"
"BLCU Reader Chapter 54","16","聞名","闻名","wénmíng","famous","A"
"BLCU Reader Chapter 54","17","豪華","豪华","háohuá","luxurious; splendid","A"
"BLCU Reader Chapter 54","18","新裝","新装","xīnzhuāng","new clothes; new look","N"
"BLCU Reader Chapter 54","19","展現","展现","zhǎnxiàn","to display; to reveal; to present","V"
"BLCU Reader Chapter 54","20","世人","世人","shìrén","common people","N"
"BLCU Reader Chapter 54","21","面前","面前","miànqián","in front of; in the face of; before","N"
"BLCU Reader Chapter 54","22","修(建)","修(建)","xiū(jiàn)","to build; to repair","V"
"BLCU Reader Chapter 54","23","甚至","甚至","shènzhì","even to the extent that; (go) as far as to","Adv"
"BLCU Reader Chapter 54","24","免不了","免不了","miǎnbuliǎo","be unavoidable; be bound to be",""
"BLCU Reader Chapter 54","25","免","免","miǎn","to avoid; be excused from","V"
"BLCU Reader Chapter 54","26","皮肉","皮肉","píròu","skin and flesh; body","N"
"BLCU Reader Chapter 54","27","擠","挤","jǐ","to squeeze; to jostle; to crowd","V"
"BLCU Reader Chapter 54","28","用力","用力","yònglì","exert oneself; use one's strength","V"
"BLCU Reader Chapter 54","29","娘家","娘家","niángjia","parents' home of a married women","N"
"BLCU Reader Chapter 54","30","各種各樣","各种各样","gèzhǒng gèyàng","all kinds of",""
"BLCU Reader Chapter 54","31","專賣店","专卖店","zhuānmàidiàn","exclusive agency","N"
"BLCU Reader Chapter 54","32","琳琅滿目","琳琅满目","línláng mǎnmù","superb collection of beautiful things; feast for the eyes",""
"BLCU Reader Chapter 54","33","應有盡有","应有尽有","yīng yǒu jìn yǒu","have everything that one expects to find",""
"BLCU Reader Chapter 54","34","商城","商城","shāngchéng","market","N"
"BLCU Reader Chapter 54","35","圈","圈","quān","circle","N"
"BLCU Reader Chapter 54","36","馬路","马路","mǎlù","street","N"
"BLCU Reader Chapter 54","37","五顏六色","五颜六色","wǔ yán liù sè","of all colors; colorful",""
"BLCU Reader Chapter 54","38","廣告牌","广告牌","guǎnggàopái","billboard","N"
"BLCU Reader Chapter 54","39","霓虹燈","霓虹灯","níhóngdēng","neon light","N"
"BLCU Reader Chapter 54","40","繁華","繁华","fánhuá","flourishing; prosperous","A"
"BLCU Reader Chapter 54","41","景象","景象","jǐngxiàng","scene; sight","N"
"BLCU Reader Chapter 54","42","空調","空调","kōngtiáo","air-conditioner","N"
"BLCU Reader Chapter 54","43","眼紅","眼红","yǎnhóng","be envious; be jealous","V"
"BLCU Reader Chapter 54","44","好客","好客","hàokè","to be hospitable; to keep an open house","A"
"BLCU Reader Chapter 54","45","豪爽","豪爽","háoshuǎng","bold and uninhibited","A"
"BLCU Reader Chapter 54","46","開朗","开朗","kāilǎng","sanguine; optimistic; cheerful","A"
"BLCU Reader Chapter 54","47","體現","体现","tǐxiàn","embodiment; to embody; to incarnate","N, V"
"BLCU Reader Chapter 54","48","山南海北","山南海北","shān nán hǎi běi","chat aimlessly",""
"BLCU Reader Chapter 54","49","中軸路","中轴路","zhōngzhóulù","axis of transportation","N"
"BLCU Reader Chapter 54","50","軸","轴","zhóu","axis","N"
"BLCU Reader Chapter 54","51","侃","侃","kǎn","to chat idly","V"
"BLCU Reader Chapter 54","52","主動","主动","zhǔdòng","initiative","A"
"BLCU Reader Chapter 54","53","槐樹","槐树","huáishù","Chinese scholartree","N"
"BLCU Reader Chapter 54","54","小吃","小吃","xiǎochī","snacks; refreshments","N"
"BLCU Reader Chapter 54","55","豆汁","豆汁","dòuzhī","fermented drink made from ground mung beans","N"
"BLCU Reader Chapter 54","56","幽默","幽默","yōumò","humor; humorous","N, A"
"BLCU Reader Chapter 54","57","聚集","聚集","jùjí","to gather; to assemble; to collect","V"
"BLCU Reader Chapter 54","58","交際舞","交际舞","jiāojìwǔ","ballroom dance","N"
"BLCU Reader Chapter 54","59","交際","交际","jiāojì","communication; social intercourse","N, V"
"BLCU Reader Chapter 54","60","笑容","笑容","xiàoróng","smiling expression; smile","N"
"BLCU Reader Chapter 54","61","開心","开心","kāixīn","happy; joyous","A"
"BLCU Reader Chapter 54","62","堆","堆","duī","heap; pile; crowd","M"
"BLCU Reader Chapter 54","63","蹲","蹲","dūn","to squat on the heels","V"
"BLCU Reader Chapter 54","64","大伙","大伙","dàhuǒ","everybody; we all","N"
"BLCU Reader Chapter 54","65","爭","争","zhēng","to contend; to vie; to strive","V"
"BLCU Reader Chapter 54","66","板凳","板凳","bǎndèng","wooden stool","N"
"BLCU Reader Chapter 54","67","無可奈何","无可奈何","wú kě nàihé","to have no alternative; to have no other way",""
"BLCU Reader Chapter 54","68","西直門","西直门","xīzhímén","Xizhimen (name of a place in Beijing)","PN"
"BLCU Reader Chapter 54","69","西單","西单","xīdān","Xidan (name of a place in Beijing)","PN"
"BLCU Reader Chapter 54","70","鼓樓","鼓楼","gǔlóu","Drum-tower (name of a place in Beijing)","PN"
"BLCU Reader Chapter 54","71","景山","景山","jǐngshān","Coal hill (name of a park in Beijing)","PN"
"BLCU Reader Chapter 54","72","象徵","象征","xiàngzhēng","to symbolize; symbol","V, N"
"BLCU Reader Chapter 54","73","驕傲","骄傲","jiāo'ào","be proud; to take pride in","A"
"BLCU Reader Chapter 54","74","堤","堤","dī","dyke","N"
"BLCU Reader Chapter 54","75","雕塑","雕塑","diāosù","sculpture","N"
"BLCU Reader Chapter 54","76","觀光","观光","guānguāng","to go sightseeing; to tour","V, N"
"BLCU Reader Chapter 54","77","隧道","隧道","suìdào","tunnel","N"
"BLCU Reader Chapter 54","78","帆","帆","fān","sail","N"
"BLCU Reader Chapter 54","79","不鏽鋼","不锈钢","búxiùgāng","stainless steel","N"
"BLCU Reader Chapter 54","80","明珠","明珠","míngzhū","bright pearl; jewel","N"
"BLCU Reader Chapter 54","81","演示","演示","yǎnshì","to demonstrate","V"
"BLCU Reader Chapter 54","82","外灘","外滩","wàitān","The Bund (name of a place in Shanghai)","PN"
"BLCU Reader Chapter 54","83","浦東","浦东","pǔdōng","Pudong (name of a place in Shanghai)","PN"
"BLCU Reader Chapter 54","84","黃浦江","黄浦江","huángpǔ jiāng","the Huangpu River","PN"
"BLCU Reader Chapter 54","85","勸酒","劝酒","quàn jiǔ","to urge somebody to drink (at a banquet)",""
"BLCU Reader Chapter 54","86","感想","感想","gǎnxiǎng","impressions; reflections; thoughts","N"
"BLCU Reader Chapter 54","87","親身","亲身","qīnshēn","personal; firsthand","Adv"
"BLCU Reader Chapter 54","88","體驗","体验","tǐyàn","to experience","V"
"BLCU Reader Chapter 54","89","醉","醉","zuì","to be drunk; to be tipsy","V"
"BLCU Reader Chapter 54","90","毒藥","毒药","dúyào","poison","N"
"BLCU Reader Chapter 54","91","玩命","玩命","wán mìng","to risk one's life at full split",""
"BLCU Reader Chapter 54","92","井","井","jǐng","well","N"
"BLCU Reader Chapter 54","93","和尚","和尚","héshang","Buddhist monk","N"
"BLCU Reader Chapter 54","94","挑","挑","tiāo","to carry on the shoulder with a pole","V"
"BLCU Reader Chapter 54","95","拜訪","拜访","bàifǎng","to pay a visit","V"
"BLCU Reader Chapter 54","96","打招呼","打招呼","dǎ zhāohu","to greet somebody; to say hello",""
"BLCU Reader Chapter 55","1","素食","素食","sùshí","vegetarian diet","N"
"BLCU Reader Chapter 55","2","將","将","jiāng","would; to be going to; preposition used to introduce the object before the verb","Adv, Prep"
"BLCU Reader Chapter 55","3","宗教","宗教","zōngjiào","religion","N"
"BLCU Reader Chapter 55","4","性","性","…xìng","nature","N, Suf"
"BLCU Reader Chapter 55","5","食品","食品","shípǐn","food","N"
"BLCU Reader Chapter 55","6","信仰","信仰","xìnyǎng","faith; belief","N"
"BLCU Reader Chapter 55","7","扮酷","扮酷","bàn kù","to play the part of a cool person",""
"BLCU Reader Chapter 55","8","酷","酷","kù","cool","A"
"BLCU Reader Chapter 55","9","膩","腻","nì","oily; be bored with","A"
"BLCU Reader Chapter 55","10","保留","保留","bǎoliú","to keep; to retain","V"
"BLCU Reader Chapter 55","11","份","份","fèn","measure word for certain abstract things","M"
"BLCU Reader Chapter 55","12","心情","心情","xīnqíng","frame of mind; mood","N"
"BLCU Reader Chapter 55","13","人類","人类","rénlèi","mankind; humanity","N"
"BLCU Reader Chapter 55","14","其他","其他","qítā","else; other","A"
"BLCU Reader Chapter 55","15","作為","作为","zuòwéi","to regard as; to take for; as","V, Prep"
"BLCU Reader Chapter 55","16","基於","基于","jīyú","because of; in view of","V, Prep"
"BLCU Reader Chapter 55","17","以及","以及","yǐjí","along with; as well as","Conj"
"BLCU Reader Chapter 55","18","寫字樓","写字楼","xiězìlóu","office building","N"
"BLCU Reader Chapter 55","19","午餐","午餐","wǔcān","lunch","N"
"BLCU Reader Chapter 55","20","白領","白领","báilǐng","white-collar","N"
"BLCU Reader Chapter 55","21","素菜","素菜","sùcài","vegetable dish","N"
"BLCU Reader Chapter 55","22","少數","少数","shǎoshù","few; minority","A"
"BLCU Reader Chapter 55","23","畢竟","毕竟","bìjìng","after all; all in all","Adv"
"BLCU Reader Chapter 55","24","不久","不久","bùjiǔ","soon; before long; not long after","Adv"
"BLCU Reader Chapter 55","25","理由","理由","lǐyóu","reason; ground; argument","N"
"BLCU Reader Chapter 55","26","保衛","保卫","bǎowèi","to defend; to safeguard","V"
"BLCU Reader Chapter 55","27","飲食","饮食","yǐnshí","food and drink; diet","N"
"BLCU Reader Chapter 55","28","生存","生存","shēngcún","to exist; to live","V"
"BLCU Reader Chapter 55","29","肉食","肉食","ròushí","carnivorous; meat","N"
"BLCU Reader Chapter 55","30","產業","产业","chǎnyè","industry","N"
"BLCU Reader Chapter 55","31","資源","资源","zīyuán","resource; wealth","N"
"BLCU Reader Chapter 55","32","使用","使用","shǐyòng","to use","V"
"BLCU Reader Chapter 55","33","使","使","shǐ","to use","V"
"BLCU Reader Chapter 55","34","糞便","粪便","fènbiàn","excretment and urine; night soil","N"
"BLCU Reader Chapter 55","35","造成","造成","zàochéng","to create; to cause","V"
"BLCU Reader Chapter 55","36","嚴重","严重","yánzhòng","serious; critical","A"
"BLCU Reader Chapter 55","37","具體","具体","jùtǐ","concrete; specific","A"
"BLCU Reader Chapter 55","38","飼養","饲养","sìyǎng","to raise; to rear","V"
"BLCU Reader Chapter 55","39","家畜","家畜","jiāchù","domestic animal; livestock","N"
"BLCU Reader Chapter 55","40","家禽","家禽","jiāqín","domestic fowl; poultry","N"
"BLCU Reader Chapter 55","41","排放","排放","páifàng","to discharge; to release","V"
"BLCU Reader Chapter 55","42","污水","污水","wūshuǐ","foul (or polluted) waters; sewage","N"
"BLCU Reader Chapter 55","43","水源","水源","shuǐyuán","source of a river; waterhead","N"
"BLCU Reader Chapter 55","44","氣體","气体","qìtǐ","gas","N"
"BLCU Reader Chapter 55","45","全球","全球","quánqiú","whole world; global","N, A"
"BLCU Reader Chapter 55","46","土壤","土壤","tǔrǎng","soil","N"
"BLCU Reader Chapter 55","47","侵蝕","侵蚀","qīnshí","to corrade; to erode","V"
"BLCU Reader Chapter 55","48","大約","大约","dàyuē","approximately; about","Adv"
"BLCU Reader Chapter 55","49","穀物","谷物","gǔwù","cereal; grain","N"
"BLCU Reader Chapter 55","50","超過","超过","chāoguò","to exceed; to surpass","V"
"BLCU Reader Chapter 55","51","土地","土地","tǔdì","land; soil","N"
"BLCU Reader Chapter 55","52","表層","表层","biǎocéng","surface layer","N"
"BLCU Reader Chapter 55","53","表","表","biǎo","surface","N"
"BLCU Reader Chapter 55","54","消耗","消耗","xiāohào","to consume; to use up","V"
"BLCU Reader Chapter 55","55","乾草","干草","gāncǎo","hay","N"
"BLCU Reader Chapter 55","56","估計","估计","gūjì","to estimate","V"
"BLCU Reader Chapter 55","57","灌溉","灌溉","guàngài","to irrigate","V"
"BLCU Reader Chapter 55","58","升","升","shēng","litre","M"
"BLCU Reader Chapter 55","59","放養","放养","fàngyǎng","put (cattles, etc.) in a natural place to breed","V"
"BLCU Reader Chapter 55","60","能源","能源","néngyuán","energy resource","N"
"BLCU Reader Chapter 55","61","運輸","运输","yùnshū","to transport","V"
"BLCU Reader Chapter 55","62","殺害","杀害","shāhài","to murder; to kill","V"
"BLCU Reader Chapter 55","63","取得","取得","qǔdé","to get; to obtain","V"
"BLCU Reader Chapter 55","64","數量","数量","shùliàng","amount; quantity","N"
"BLCU Reader Chapter 55","65","工業化","工业化","gōngyèhuà","to industrialize","V"
"BLCU Reader Chapter 55","66","工業","工业","gōngyè","industry","N"
"BLCU Reader Chapter 55","67","以","以","yǐ","in order to; so as to","Conj"
"BLCU Reader Chapter 55","68","積極","积极","jījí","positive; active","A"
"BLCU Reader Chapter 55","69","滿足","满足","mǎnzú","to satisfy; to content","V"
"BLCU Reader Chapter 55","70","消費","消费","xiāofèi","to consume","V"
"BLCU Reader Chapter 55","71","黑熊","黑熊","hēixióng","black bear","N"
"BLCU Reader Chapter 55","72","救命","救命","jiù mìng","to save somebody's life; Help!",""
"BLCU Reader Chapter 55","73","冰","冰","bīng","ice","N"
"BLCU Reader Chapter 55","74","封","封","fēng","to seal; to freeze","V"
"BLCU Reader Chapter 55","75","斷裂","断裂","duànliè","to break; to crack","V"
"BLCU Reader Chapter 55","76","知覺","知觉","zhījué","consciousness","N"
"BLCU Reader Chapter 55","77","嗚嗚","呜呜","wūwū","cry of animals","Ono"
"BLCU Reader Chapter 55","78","掙扎","挣扎","zhēngzhá","to struggle","V"
"BLCU Reader Chapter 55","79","斧子","斧子","fǔzi","axe","N"
"BLCU Reader Chapter 55","80","縫","缝","fèng","crack; chink","N"
"BLCU Reader Chapter 55","81","戀戀不捨","恋恋不舍","liànliàn bù shě","to be reluctant to part with",""
"BLCU Reader Chapter 55","82","炕","炕","kàng","kang (a heatable brick bed)","N"
"BLCU Reader Chapter 55","83","危險","危险","wēixiǎn","dangerous; danger","A, N"
"BLCU Reader Chapter 55","84","減肥","减肥","jiǎn féi","to lose weight",""
"BLCU Reader Chapter 55","85","發愁","发愁","fāchóu","to worry; to be anxious","V"
"BLCU Reader Chapter 55","86","脂肪","脂肪","zhīfáng","fat","N"
"BLCU Reader Chapter 55","87","多餘","多余","duōyú","unnecessary; superfluous; surplus","A"
"BLCU Reader Chapter 55","88","熱量","热量","rèliàng","quantity of heat","N"
"BLCU Reader Chapter 55","89","掉","掉","diào","used after certain verbs to indicate the consequence of an art","V"
"BLCU Reader Chapter 55","90","過度","过度","guòdù","excessive; over-","A"
"BLCU Reader Chapter 55","91","長壽","长寿","chángshòu","long life; longevity","A"
"BLCU Reader Chapter 55","92","壽命","寿命","shòumìng","life-span; life","N"
"BLCU Reader Chapter 55","93","捕魚","捕鱼","bǔ yú","to catch fish; to fish",""
"BLCU Reader Chapter 55","94","新鮮","新鲜","xīnxiān","fresh","A"
"BLCU Reader Chapter 55","95","大爺","大爷","dàye","uncle (a respectful form of address for an elderly man)","N"
"BLCU Reader Chapter 55","96","和睦","和睦","hémù","concord; harmony","A"
"BLCU Reader Chapter 55","97","心情","心情","xīnqíng","frame of mind; mood","N"
"BLCU Reader Chapter 55","98","湖北省","湖北省","húběi shěng","Hubei Province","PN"
"BLCU Reader Chapter 56","1","雜交","杂交","zájiāo","to hybridize; to cross","V"
"BLCU Reader Chapter 56","2","水稻","水稻","shuǐdào","paddy; rice","N"
"BLCU Reader Chapter 56","3","將","将","jiǎng","award; prize","N"
"BLCU Reader Chapter 56","4","授予","授予","shòuyǔ","to award; to confer","V"
"BLCU Reader Chapter 56","5","工程院","工程院","gōngchéngyuàn","academy of engineering","N"
"BLCU Reader Chapter 56","6","工程","工程","gōngchéng","engineering; project","N"
"BLCU Reader Chapter 56","7","院士","院士","yuànshì","academician","N"
"BLCU Reader Chapter 56","8","採訪","采访","cǎifǎng","to gather news; to interview","V"
"BLCU Reader Chapter 56","9","意識","意识","yìshí","to be conscious of; consciousness","V, N"
"BLCU Reader Chapter 56","10","知識分子","知识分子","zhīshi fènzǐ","intellectual; the intelligentsia",""
"BLCU Reader Chapter 56","11","觀察","观察","guānchá","to observe; to watch","V"
"BLCU Reader Chapter 56","12","曾經","曾经","céngjīng","at one time; ever; once","Adv"
"BLCU Reader Chapter 56","13","曾","曾","céng","ever","Adv"
"BLCU Reader Chapter 56","14","一生","一生","yìshēng","lifetime; all one's life","N"
"BLCU Reader Chapter 56","15","好","好","hào","to like; to love; to be fond of","V"
"BLCU Reader Chapter 56","16","果實","果实","guǒshí","fruit","N"
"BLCU Reader Chapter 56","17","吸引","吸引","xīyǐn","to attract; to draw","V"
"BLCU Reader Chapter 56","18","印象","印象","yìnxiàng","impression","N"
"BLCU Reader Chapter 56","19","記憶","记忆","jìyì","memory","N"
"BLCU Reader Chapter 56","20","(農)作物","(农)作物","(nóng)zuòwù","crop","N"
"BLCU Reader Chapter 56","21","遺傳","遗传","yíchuán","heredity; inheritance; to inherit","N, V"
"BLCU Reader Chapter 56","22","育種","育种","yùzhǒng","to breed","V"
"BLCU Reader Chapter 56","23","十分","十分","shífēn","fully; utterly; extremely","Adv"
"BLCU Reader Chapter 56","24","業餘","业余","yèyú","sparetime; after-work","N"
"BLCU Reader Chapter 56","25","學說","学说","xuéshuō","doctrine; theory","N"
"BLCU Reader Chapter 56","26","成果","成果","chéngguǒ","fruit; achievement; gain","N"
"BLCU Reader Chapter 56","27","穗子","穗子","suìzi","ear of grain; spike","N"
"BLCU Reader Chapter 56","28","掃帚","扫帚","sàozhou","broom","N"
"BLCU Reader Chapter 56","29","顆粒","颗粒","kēlì","granule (anything small and roundish); grain","N"
"BLCU Reader Chapter 56","30","花生","花生","huāshēng","peanut","N"
"BLCU Reader Chapter 56","31","哪怕","哪怕","nǎpà","even if","Conj"
"BLCU Reader Chapter 56","32","增產","增产","zēngchǎn","to increase production","V"
"BLCU Reader Chapter 56","33","成","成","chéng","one tenth","M"
"BLCU Reader Chapter 56","34","下決心","下决心","xià juéxīn","to decide; to make up one's mind",""
"BLCU Reader Chapter 56","35","決心","决心","juéxīn","to determine; decision; determination","V, N"
"BLCU Reader Chapter 56","36","攻","攻","gōng","to attack; to study","V"
"BLCU Reader Chapter 56","37","難關","难关","nánguān","difficulty","N"
"BLCU Reader Chapter 56","38","粗壯","粗壮","cūzhuàng","thick and strong","A"
"BLCU Reader Chapter 56","39","粗","粗","cū","wide; thick; coarse","A"
"BLCU Reader Chapter 56","40","壯","壮","zhuàng","strong; able-bodied","A"
"BLCU Reader Chapter 56","41","秧苗","秧苗","yāngmiáo","seedling; rice shoot","N"
"BLCU Reader Chapter 56","42","野生","野生","yěshēng","wild; undomesticated","A"
"BLCU Reader Chapter 56","43","野","野","yě","wild; uncultivated; rude","A"
"BLCU Reader Chapter 56","44","種子","种子","zhǒngzi","seed","N"
"BLCU Reader Chapter 56","45","純種","纯种","chúnzhǒng","thoroughbred; purebred","A"
"BLCU Reader Chapter 56","46","純","纯","chún","pure; unmixed; simple","A"
"BLCU Reader Chapter 56","47","產生","产生","chǎnshēng","to produce; to bring; to come into being","V"
"BLCU Reader Chapter 56","48","分化","分化","fēnhuà","to differentiate; to become divided; differentiation","V, N"
"BLCU Reader Chapter 56","49","天然","天然","tiānrán","natural","A"
"BLCU Reader Chapter 56","50","打破","打破","dǎpò","to break; to smash","V"
"BLCU Reader Chapter 56","51","優勢","优势","yōushì","predominance; superiority","N"
"BLCU Reader Chapter 56","52","促使","促使","cùshǐ","to urge; to impel","V"
"BLCU Reader Chapter 56","53","培育","培育","péiyù","to breed; to cultivate","V"
"BLCU Reader Chapter 56","54","革命性","革命性","gémìngxìng","revolutionary spirit","N"
"BLCU Reader Chapter 56","55","革命","革命","gémìng","to revolute; revolution","V, N"
"BLCU Reader Chapter 56","56","產量","产量","chǎnliàng","output; yield","N"
"BLCU Reader Chapter 56","57","畝","亩","mǔ","mu (a chinese unit of area equal to 1/15 of a hectare or 1/6 of an acre)","M"
"BLCU Reader Chapter 56","58","公斤","公斤","gōngjīn","kilogram; kg","M"
"BLCU Reader Chapter 56","59","以上","以上","yǐshàng","above; more than; over","N"
"BLCU Reader Chapter 56","60","品質","品质","pǐnzhì","character; quality","N"
"BLCU Reader Chapter 56","61","養活","养活","yǎnghuó","to support; to feed; to raise","V"
"BLCU Reader Chapter 56","62","項目","项目","xiàngmù","item; project","N"
"BLCU Reader Chapter 56","63","超級","超级","chāojí","super","A"
"BLCU Reader Chapter 56","64","目標","目标","mùbiāo","aim; goal","N"
"BLCU Reader Chapter 56","65","畝產","亩产","mǔchǎn","production of one mu","N"
"BLCU Reader Chapter 56","66","候鳥","候鸟","hòuniǎo","migratory bird","N"
"BLCU Reader Chapter 56","67","寒冷","寒冷","hánlěng","cold; frigid","A"
